Name of City,State,Population (2011)
Ongole,Andhra Pradesh,"2,02,826"
Nandyal,Andhra Pradesh,"2,00,746"
Morena,Madhya Pradesh,"2,00,506"
Bhiwani,Haryana,"1,97,662"
Porbandar,Gujarat,"1,97,382"
Palakkad,Kerala,"1,97,369"
Anand,Gujarat,"1,97,351"
Purnia,Bihar,"1,97,211"
Baharampur,West Bengal,"1,95,363"
Barmer,Rajasthan,"1,89,715"
Morvi,Gujarat,"1,88,278"
Orai,Uttar Pradesh,"1,87,185"
Bahraich,Uttar Pradesh,"1,86,241"
Sikar,Rajasthan,"1,85,925"
Vellore,Tamil Nadu,"1,85,895"
Singrauli,Madhya Pradesh,"1,85,190"
Khammam,Telangana,"1,84,252"
Mahesana,Gujarat,"1,84,133"
Silchar,Assam,"1,84,105"
Sambalpur,Odisha,"1,83,383"
Rewa,Madhya Pradesh,"1,83,274"
Unnao,Uttar Pradesh,"1,77,658"
Hugli-Chinsurah,West Bengal,"1,77,209"
Raiganj,West Bengal,"1,75,047"
Phusro,Jharkhand,"1,74,402"
Adityapur,Jharkhand,"1,74,355"
Alappuzha,Kerala,"1,74,164"
Bahadurgarh,Haryana,"1,70,426"
Machilipatnam,Andhra Pradesh,"1,70,008"
Rae Bareli,Uttar Pradesh,"1,69,333"
Jalpaiguri,West Bengal,"1,69,013"
Bharuch,Gujarat,"1,68,729"
Pathankot,Punjab,"1,68,485"
Hoshiarpur,Punjab,"1,68,443"
Baramula,Jammu and Kashmir,"1,67,986"
Adoni,Andhra Pradesh,"1,66,344"
Jind,Haryana,"1,66,225"
Tonk,Rajasthan,"1,65,363"
Tenali,Andhra Pradesh,"1,64,649"
Kancheepuram,Tamil Nadu,"1,64,265"
Vapi,Gujarat,"1,63,630"
Sirsa,Haryana,"1,60,735"
Navsari,Gujarat,"1,60,100"
Mahbubnagar,Telangana,"1,57,902"
Puri,Odisha,"1,57,837"
Robertson Pet,Karnataka,"1,57,084"
Erode,Tamil Nadu,"1,56,953"
Batala,Punjab,"1,56,400"
Haldwani-cum-Kathgodam,Uttarakhand,"1,56,060"
Vidisha,Madhya Pradesh,"1,55,959"
Saharsa,Bihar,"1,55,175"
Thanesar,Haryana,"1,54,962"
Chittoor,Andhra Pradesh,"1,53,766"
Veraval,Gujarat,"1,53,696"
Lakhimpur,Uttar Pradesh,"1,52,010"
Sitapur,Uttar Pradesh,"1,51,908"
Hindupur,Andhra Pradesh,"1,51,835"
Santipur,West Bengal,"1,51,774"
Balurghat,West Bengal,"1,51,183"
Ganjbasoda,Madhya Pradesh,"1,50,454"
Moga,Punjab,"1,50,432"
Proddatur,Andhra Pradesh,"1,50,309"
Srinagar,Uttarakhand,"1,50,000"
Medinipur,West Bengal,"1,49,769"
Habra,West Bengal,"1,49,675"
Sasaram,Bihar,"1,47,396"
Hajipur,Bihar,"1,47,126"
Bhuj,Gujarat,"1,47,123"
Shivpuri,Madhya Pradesh,"1,46,892"
Ranaghat,West Bengal,"1,45,285"
Shimla,Himachal Pradesh,"1,44,975"
Tiruvannamalai,Tamil Nadu,"1,44,683"
Kaithal,Haryana,"1,44,633"
Rajnandgaon,Chhattisgarh,"1,43,770"
Godhra,Gujarat,"1,43,126"
Hazaribag,Jharkhand,"1,42,494"
Bhimavaram,Andhra Pradesh,"1,42,280"
Mandsaur,Madhya Pradesh,"1,41,468"
Dibrugarh,Assam,"1,38,661"
Kolar,Karnataka,"1,38,553"
Bankura,West Bengal,"1,38,036"
Mandya,Karnataka,"1,37,735"
Dehri-on-Sone,Bihar,"1,37,068"
Madanapalle,Andhra Pradesh,"1,35,669"
Malerkotla,Punjab,"1,35,330"
Lalitpur,Uttar Pradesh,"1,33,041"
Bettiah,Bihar,"1,32,896"
Pollachi,Tamil Nadu,"1,28,458"
Khanna,Punjab,"1,28,130"
Neemuch,Madhya Pradesh,"1,28,108"
Palwal,Haryana,"1,27,931"
Palanpur,Gujarat,"1,27,125"
Guntakal,Andhra Pradesh,"1,26,479"
Nabadwip,West Bengal,"1,25,528"
Udupi,Karnataka,"1,25,350"
Jagdalpur,Chhattisgarh,"1,25,345"
Motihari,Bihar,"1,25,183"
Pilibhit,Uttar Pradesh,"1,24,245"
Dimapur,Nagaland,"1,23,777"
Mohali,Punjab,"1,23,484"
Sadulpur,Rajasthan,"1,22,326"
Rajapalayam,Tamil Nadu,"1,22,307"
Dharmavaram,Andhra Pradesh,"1,21,992"
Kashipur,Uttarakhand,"1,21,610"
Sivakasi,Tamil Nadu,"1,21,358"
Darjiling,West Bengal,"1,20,414"
Chikkamagaluru,Karnataka,"1,18,496"
Gudivada,Andhra Pradesh,"1,18,289"
Baleshwar Town,Odisha,"1,18,202"
Mancherial,Telangana,"1,18,195"
Srikakulam,Andhra Pradesh,"1,17,320"
Adilabad,Telangana,"1,17,167"
Yavatmal,Maharashtra,"1,16,714"
Barnala,Punjab,"1,16,454"
Nagaon,Assam,"1,16,355"
Narasaraopet,Andhra Pradesh,"1,16,329"
Raigarh,Chhattisgarh,"1,15,908"
Roorkee,Uttarakhand,"1,15,278"
Valsad,Gujarat,"1,14,636"
Ambikapur,Chhattisgarh,"1,14,575"
Giridih,Jharkhand,"1,14,447"
Chandausi,Uttar Pradesh,"1,14,254"
Purulia,West Bengal,"1,13,806"
Patan,Gujarat,"1,13,749"
Bagaha,Bihar,"1,13,012"
Hardoi ,Uttar Pradesh,"1,12,486"
Achalpur,Maharashtra,"1,12,293"
Osmanabad,Maharashtra,"1,12,085"
Deesa,Gujarat,"1,11,149"
Nandurbar,Maharashtra,"1,11,067"
Azamgarh,Uttar Pradesh,"1,10,980"
Ramgarh,Jharkhand,"1,10,496"
Firozpur,Punjab,"1,10,091"
Baripada Town,Odisha,"1,10,058"
Karwar,Karnataka,"1,10,000"
Siwan,Bihar,"1,09,919"
Rajampet,Andhra Pradesh,"1,09,575"
Pudukkottai,Tamil Nadu,"1,09,217"
Anantnag,Jammu and Kashmir,"1,08,505"
Tadpatri,Andhra Pradesh,"1,08,249"
Satara,Maharashtra,"1,08,048"
Bhadrak,Odisha,"1,07,369"
Kishanganj,Bihar,"1,07,076"
Suryapet,Telangana,"1,06,524"
Wardha,Maharashtra,"1,06,444"
Ranebennuru,Karnataka,"1,06,365"
Amreli,Gujarat,"1,05,980"
Neyveli (TS),Tamil Nadu,"1,05,687"
Jamalpur,Bihar,"1,05,221"
Marmagao,Goa,"1,04,758"
Udgir,Maharashtra,"1,04,063"
Tadepalligudem,Andhra Pradesh,"1,03,577"
Nagapattinam,Tamil Nadu,"1,02,838"
Buxar,Bihar,"1,02,591"
Aurangabad,Maharashtra,"1,02,520"
Jehanabad,Bihar,"1,02,456"
Phagwara,Punjab,"1,02,253"
Khair,Uttar Pradesh,"1,02,106"
Sawai Madhopur,Rajasthan,"1,01,997"
Kapurthala,Punjab,"1,01,654"
Chilakaluripet,Andhra Pradesh,"1,01,550"
Aurangabad,Bihar,"1,01,520"
Malappuram,Kerala,"1,01,330"
Rewari,Haryana,"1,00,684"
Nagaur,Rajasthan,"1,00,618"
Sultanpur,Uttar Pradesh,"1,00,065"
Nagda,Madhya Pradesh,"1,00,036"
Port Blair,Andaman and Nicobar Islands,"99,984"
Lakhisarai,Bihar,"99,979"
Panaji,Goa,"99,677"
Tinsukia,Assam,"99,448"
Itarsi,Madhya Pradesh,"99,329"
Kohima,Nagaland,"99,039"
Balangir,Odisha,"98,238"
Nawada,Bihar,"98,029"
Jharsuguda,Odisha,"97,730"
Jagtial,Telangana,"96,460"
Viluppuram,Tamil Nadu,"96,253"
Amalner,Maharashtra,"95,994"
Zirakpur,Punjab,"95,553"
Tanda,Uttar Pradesh,"95,516"
Tiruchengode,Tamil Nadu,"95,335"
Nagina,Uttar Pradesh,"95,246"
Yemmiganur,Andhra Pradesh,"95,149"
Vaniyambadi,Tamil Nadu,"95,061"
Sarni,Madhya Pradesh,"95,012"
Theni Allinagaram,Tamil Nadu,"94,453"
Margao,Goa,"94,383"
Akot,Maharashtra,"92,637"
Sehore,Madhya Pradesh,"92,518"
Mhow Cantonment,Madhya Pradesh,"92,364"
Kot Kapura,Punjab,"91,979"
Makrana,Rajasthan,"91,853"
Pandharpur,Maharashtra,"91,379"
Miryalaguda,Telangana,"91,359"
Shamli,Uttar Pradesh,"90,055"
Seoni,Madhya Pradesh,"89,801"
Ranibennur,Karnataka,"89,618"
Kadiri,Andhra Pradesh,"89,429"
Shrirampur,Maharashtra,"88,761"
Rudrapur,Uttarakhand,"88,676"
Parli,Maharashtra,"88,537"
Najibabad,Uttar Pradesh,"88,535"
Nirmal,Telangana,"88,433"
Udhagamandalam,Tamil Nadu,"88,430"
Shikohabad,Uttar Pradesh,"88,161"
Jhumri Tilaiya,Jharkhand,"87,867"
Aruppukkottai,Tamil Nadu,"87,722"
Ponnani,Kerala,"87,495"
Jamui,Bihar,"87,357"
Sitamarhi,Bihar,"87,279"
Chirala,Andhra Pradesh,"87,200"
Anjar,Gujarat,"87,183"
Karaikal,Puducherry,"86,838"
Hansi,Haryana,"86,770"
Anakapalle,Andhra Pradesh,"86,519"
Mahasamund,Chhattisgarh,85650
Faridkot,Punjab,"85,435"
Saunda,Jharkhand,"85,075"
Dhoraji,Gujarat,"84,545"
Paramakudi,Tamil Nadu,"84,321"
Balaghat,Madhya Pradesh,"84,261"
Sujangarh,Rajasthan,"83,846"
Khambhat,Gujarat,"83,715"
Muktsar,Punjab,"83,655"
Rajpura,Punjab,"82,956"
Kavali,Andhra Pradesh,"82,336"
Dhamtari,Chhattisgarh,"82,111"
Ashok Nagar,Madhya Pradesh,"81,828"
Sardarshahar,Rajasthan,"81,394"
Mahuva,Gujarat,"80,726"
Bargarh,Odisha,"80,625"
Kamareddy,Telangana,"80,315"
Sahibganj,Jharkhand,"80,154"
Kothagudem,Telangana,"79,819"
Ramanagaram,Karnataka,"79,394"
Gokak,Karnataka,"79,121"
Tikamgarh,Madhya Pradesh,"79,106"
Araria,Bihar,"79,021"
Rishikesh,Uttarakhand,"78,805"
Shahdol,Madhya Pradesh,"78,624"
Medininagar (Daltonganj),Jharkhand,"78,396"
Arakkonam,Tamil Nadu,"78,395"
Washim,Maharashtra,"78,387"
Sangrur,Punjab,"77,989"
Bodhan,Telangana,"77,573"
Fazilka,Punjab,"76,492"
Palacole,Andhra Pradesh,"76,308"
Keshod,Gujarat,"76,193"
Sullurpeta,Andhra Pradesh,"75,925"
Wadhwan,Gujarat,"75,755"
Gurdaspur,Punjab,"75,549"
Vatakara,Kerala,"75,295"
Tura,Meghalaya,"74,858"
Narnaul,Haryana,"74,581"
Kharar,Punjab,"74,460"
Yadgir,Karnataka,"74,294"
Ambejogai,Maharashtra,"73,975"
Ankleshwar,Gujarat,"73,928"
Savarkundla,Gujarat,"73,774"
Paradip,Odisha,"73,625"
Virudhachalam,Tamil Nadu,"73,585"
Kanhangad,Kerala,"73,342"
Kadi,Gujarat,"73,228"
Srivilliputhur,Tamil Nadu,"73,183"
Gobindgarh,Punjab,"73,130"
Tindivanam,Tamil Nadu,"72,796"
Mansa,Punjab,"72,627"
Taliparamba,Kerala,"72,465"
Manmad,Maharashtra,"72,401"
Tanuku,Andhra Pradesh,"72,348"
Rayachoti,Andhra Pradesh,"72,297"
Virudhunagar,Tamil Nadu,"72,296"
Koyilandy,Kerala,"71,873"
Jorhat,Assam,"71,782"
Karur,Tamil Nadu,"70,980"
Valparai,Tamil Nadu,"70,859"
Srikalahasti,Andhra Pradesh,"70,854"
Neyyattinkara,Kerala,"70,850"
Bapatla,Andhra Pradesh,"70,777"
Fatehabad,Haryana,"70,777"
Malout,Punjab,"70,765"
Sankarankovil,Tamil Nadu,"70,574"
Tenkasi,Tamil Nadu,"70,545"
Ratnagiri,Maharashtra,"70,383"
Rabkavi Banhatti,Karnataka,"70,248"
Sikandrabad,Uttar Pradesh,"69,867"
Chaibasa,Jharkhand,"69,565"
Chirmiri,Chhattisgarh,"69,307"
Palwancha,Telangana,"69,088"
Bhawanipatna,Odisha,"69,045"
Kayamkulam,Kerala,"68,634"
Pithampur,Madhya Pradesh,"68,080"
Nabha,Punjab,"67,972"
"Shahabad, Hardoi",Uttar Pradesh,"67,751"
Dhenkanal,Odisha,"67,414"
Uran Islampur,Maharashtra,"67,391"
Gopalganj,Bihar,"67,339"
Bongaigaon City,Assam,"67,322"
Palani,Tamil Nadu,"67,231"
Pusad,Maharashtra,"67,116"
Sopore,Jammu and Kashmir,"66,963"
Pilkhuwa,Uttar Pradesh,"66,907"
Tarn Taran,Punjab,"66,847"
Renukoot,Uttar Pradesh,"66,597"
Mandamarri,Telangana,"66,596"
Shahabad,Karnataka,"66,550"
Barbil,Odisha,"66,540"
Koratla,Telangana,"66,504"
Madhubani,Bihar,"66,340"
Arambagh,West Bengal,"66,175"
Gohana,Haryana,"65,708"
Ladnu,Rajasthan,"65,575"
Pattukkottai,Tamil Nadu,"65,533"
Sirsi,Karnataka,"65,335"
Sircilla,Telangana,"65,314"
Tamluk,West Bengal,"65,306"
Jagraon,Punjab,"65,240"
AlipurdUrban Agglomerationr,West Bengal,"65,232"
Alirajpur,Madhya Pradesh,"65,232"
Tandur,Telangana,"65,115"
Naidupet,Andhra Pradesh,"65,000"
Tirupathur,Tamil Nadu,"64,125"
Tohana,Haryana,"63,871"
Ratangarh,Rajasthan,"63,486"
Dhubri,Assam,"63,388"
Masaurhi,Bihar,"63,248"
Visnagar,Gujarat,"63,073"
Vrindavan,Uttar Pradesh,"63,005"
Nokha,Rajasthan,"62,699"
Nagari,Andhra Pradesh,"62,253"
Narwana,Haryana,"62,090"
Ramanathapuram,Tamil Nadu,"62,050"
Ujhani,Uttar Pradesh,"62,039"
Samastipur,Bihar,"61,998"
Laharpur,Uttar Pradesh,"61,990"
Sangamner,Maharashtra,"61,958"
Nimbahera,Rajasthan,"61,949"
Siddipet,Telangana,"61,809"
Suri,West Bengal,"61,806"
Diphu,Assam,"61,797"
Jhargram,West Bengal,"61,712"
Shirpur-Warwade,Maharashtra,"61,694"
Tilhar,Uttar Pradesh,"61,444"
Sindhnur,Karnataka,"61,262"
Udumalaipettai,Tamil Nadu,"61,133"
Malkapur,Maharashtra,"61,012"
Wanaparthy,Telangana,"60,949"
Gudur,Andhra Pradesh,"60,625"
Kendujhar,Odisha,"60,590"
Mandla,Madhya Pradesh,"60,542"
Mandi,Himachal Pradesh,"60,387"
Nedumangad,Kerala,"60,161"
North Lakhimpur,Assam,"59,814"
Vinukonda,Andhra Pradesh,"59,725"
Tiptur,Karnataka,"59,543"
Gobichettipalayam,Tamil Nadu,"59,523"
Sunabeda,Odisha,"58,884"
Wani,Maharashtra,"58,840"
Upleta,Gujarat,"58,775"
Narasapuram,Andhra Pradesh,"58,770"
Nuzvid,Andhra Pradesh,"58,590"
Tezpur,Assam,"58,559"
Una,Gujarat,"58,528"
Markapur,Andhra Pradesh,"58,462"
Sheopur,Madhya Pradesh,"58,342"
Thiruvarur,Tamil Nadu,"58,301"
Sidhpur,Gujarat,"58,194"
Sahaswan,Uttar Pradesh,"58,184"
Suratgarh,Rajasthan,"58,119"
Shajapur,Madhya Pradesh,"57,818"
Rayagada,Odisha,"57,759"
Lonavla,Maharashtra,"57,698"
Ponnur,Andhra Pradesh,"57,640"
Kagaznagar,Telangana,"57,583"
Gadwal,Telangana,"57,569"
Bhatapara,Chhattisgarh,"57,537"
Kandukur,Andhra Pradesh,"57,246"
Sangareddy,Telangana,"57,113"
Unjha,Gujarat,"57,108"
Lunglei,Mizoram,"57,011"
Karimganj,Assam,"56,854"
Kannur,Kerala,"56,823"
Bobbili,Andhra Pradesh,"56,819"
Mokameh,Bihar,"56,615"
Talegaon Dabhade,Maharashtra,"56,435"
Anjangaon,Maharashtra,"56,380"
Mangrol,Gujarat,"56,320"
Sunam,Punjab,"56,251"
Gangarampur,West Bengal,"56,175"
Thiruvallur,Tamil Nadu,"56,074"
Tirur,Kerala,"56,058"
Rath,Uttar Pradesh,"55,950"
Jatani,Odisha,"55,925"
Viramgam,Gujarat,"55,821"
Rajsamand,Rajasthan,"55,687"
Yanam,Puducherry,"55,626"
Kottayam,Kerala,"55,374"
Panruti,Tamil Nadu,"55,346"
Dhuri,Punjab,"55,225"
Namakkal,Tamil Nadu,"55,145"
Kasaragod,Kerala,"54,172"
Modasa,Gujarat,"54,135"
Rayadurg,Andhra Pradesh,"54,125"
Supaul,Bihar,"54,085"
Kunnamkulam,Kerala,"54,071"
Umred,Maharashtra,"53,971"
Bellampalle,Telangana,"53,958"
Sibsagar,Assam,"53,854"
Mandi Dabwali,Haryana,"53,811"
Ottappalam,Kerala,"53,792"
Dumraon,Bihar,"53,618"
Samalkot,Andhra Pradesh,"53,602"
Jaggaiahpet,Andhra Pradesh,"53,530"
Goalpara,Assam,"53,430"
Tuni,Andhra Pradesh,"53,425"
Lachhmangarh,Rajasthan,"53,392"
Bhongir,Telangana,"53,339"
Amalapuram,Andhra Pradesh,"53,231"
Firozpur Cantt.,Punjab,"53,199"
Vikarabad,Telangana,"53,143"
Thiruvalla,Kerala,"52,883"
Sherkot,Uttar Pradesh,"52,880"
Palghar,Maharashtra,"52,677"
Shegaon,Maharashtra,"52,423"
Jangaon,Telangana,"52,394"
Bheemunipatnam,Andhra Pradesh,"52,110"
Panna,Madhya Pradesh,"52,057"
Thodupuzha,Kerala,"52,045"
KathUrban Agglomeration,Jammu and Kashmir,"51,991"
Palitana,Gujarat,"51,944"
Arwal,Bihar,"51,849"
Venkatagiri,Andhra Pradesh,"51,708"
Kalpi,Uttar Pradesh,"51,670"
Rajgarh (Churu),Rajasthan,"51,640"
Sattenapalle,Andhra Pradesh,"51,404"
Arsikere,Karnataka,"51,336"
Ozar,Maharashtra,"51,297"
Thirumangalam,Tamil Nadu,"51,194"
Petlad,Gujarat,"51,147"
Nasirabad,Rajasthan,"50,804"
Phaltan,Maharashtra,"50,800"
Rampurhat,West Bengal,"50,613"
Nanjangud,Karnataka,"50,598"
Forbesganj,Bihar,"50,475"
Tundla,Uttar Pradesh,"50,423"
BhabUrban Agglomeration,Bihar,"50,179"
Sagara,Karnataka,"50,131"
Pithapuram,Andhra Pradesh,"50,103"
Sira,Karnataka,"50,088"
Bhadrachalam,Telangana,"50,087"
Charkhi Dadri,Haryana,"49,985"
Chatra,Jharkhand,"49,985"
Palasa Kasibugga,Andhra Pradesh,"49,899"
Nohar,Rajasthan,"49,835"
Yevla,Maharashtra,"49,826"
Sirhind Fatehgarh Sahib,Punjab,"49,825"
Bhainsa,Telangana,"49,764"
Parvathipuram,Andhra Pradesh,"49,714"
Shahade,Maharashtra,"49,696"
Chalakudy,Kerala,"49,525"
Narkatiaganj,Bihar,"49,507"
Kapadvanj,Gujarat,"49,308"
Macherla,Andhra Pradesh,"49,221"
Raghogarh-Vijaypur,Madhya Pradesh,"49,173"
Rupnagar,Punjab,"49,159"
Naugachhia,Bihar,"49,069"
Sendhwa,Madhya Pradesh,"48,941"
Byasanagar,Odisha,"48,911"
Sandila,Uttar Pradesh,"48,899"
Gooty,Andhra Pradesh,"48,658"
Salur,Andhra Pradesh,"48,354"
Nanpara,Uttar Pradesh,"48,337"
Sardhana,Uttar Pradesh,"48,314"
Vita,Maharashtra,"48,289"
Gumia,Jharkhand,"48,141"
Puttur,Karnataka,"48,070"
Jalandhar Cantt.,Punjab,"47,845"
Nehtaur,Uttar Pradesh,"47,834"
Changanassery,Kerala,"47,685"
Mandapeta,Andhra Pradesh,"47,638"
Dumka,Jharkhand,"47,584"
Seohara,Uttar Pradesh,"47,575"
Umarkhed,Maharashtra,"47,458"
Madhupur,Jharkhand,"47,326"
Vikramasingapuram,Tamil Nadu,"47,241"
Punalur,Kerala,"47,235"
Kendrapara,Odisha,"47,006"
Sihor,Gujarat,"46,960"
Nellikuppam,Tamil Nadu,"46,678"
Samana,Punjab,"46,592"
Warora,Maharashtra,"46,532"
Nilambur,Kerala,"46,366"
Rasipuram,Tamil Nadu,"46,330"
Ramnagar,Uttarakhand,"46,205"
Jammalamadugu,Andhra Pradesh,"46,069"
Nawanshahr,Punjab,"46,024"
Thoubal,Manipur,"45,947"
Athni,Karnataka,"45,858"
Cherthala,Kerala,"45,827"
Sidhi,Madhya Pradesh,"45,700"
Farooqnagar,Telangana,"45,675"
Peddapuram,Andhra Pradesh,"45,520"
Chirkunda,Jharkhand,"45,508"
Pachora,Maharashtra,"45,333"
Madhepura,Bihar,"45,031"
Pithoragarh,Uttarakhand,"44,964"
Tumsar,Maharashtra,"44,869"
Phalodi,Rajasthan,"44,868"
Tiruttani,Tamil Nadu,"44,781"
Rampura Phul,Punjab,"44,665"
