,City,State,Population,Latitude,Longitude,Cluster Labels,Cluster Names,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
527,Thiruvalla,Kerala,52883.0,9.3867448,76.5762652,4,Indian Cuisine Restaurants,Indian Restaurant,Stadium,Bakery,General Travel,Shopping Mall,Restaurant,Resort,Department Store,Fried Chicken Joint,Boutique
528,Sherkot,Uttar Pradesh,52880.0,29.3248768,78.5732637,0,Food Hubs,ATM,Cable Car,Doctor's Office,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
529,Palghar,Maharashtra,52677.0,19.68086385,72.82537342511341,0,Food Hubs,Fast Food Restaurant,Train Station,Ice Cream Shop,Food & Drink Shop,Breakfast Spot,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm
530,Shegaon,Maharashtra,52423.0,20.775625899999998,76.61195368171651,1,Stations,Train Station,ATM,Bus Station,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
531,Bheemunipatnam,Andhra Pradesh,52110.0,17.891381,83.4512183,0,Food Hubs,ATM,Indian Restaurant,Bakery,Go Kart Track,Café,Beach,Fireworks Store,Falafel Restaurant,Farm,Farmers Market
532,Panna,Madhya Pradesh,52057.0,24.5,80.25,0,Food Hubs,Furniture / Home Store,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
533,Thodupuzha,Kerala,52045.0,9.87745575,76.80292656546732,0,Food Hubs,Indie Movie Theater,Mountain,Moving Target,College Cafeteria,Hotel,Bakery,Vegetarian / Vegan Restaurant,Bar,Scenic Lookout,River
534,Palitana,Gujarat,51944.0,21.5236104,71.82195970000001,0,Food Hubs,Indian Restaurant,Trail,Historic Site,Dessert Shop,Fast Food Restaurant,Event Space,Fabric Shop,Factory,Falafel Restaurant,Farm
535,Arwal,Bihar,51849.0,25.18077715,84.65920203021555,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
536,Rajgarh (Churu),Rajasthan,51640.0,28.6415386,75.3852992,1,Stations,ATM,Train Station,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
537,Sattenapalle,Andhra Pradesh,51404.0,16.421400249999998,80.16888970550734,0,Food Hubs,Indie Movie Theater,Theater,Train Station,Pharmacy,Field,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
538,Arsikere,Karnataka,51336.0,14.564581400000002,74.8425901,4,Indian Cuisine Restaurants,Indian Restaurant,Multicuisine Indian Restaurant,Fast Food Restaurant,Hotel,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Field
539,Thirumangalam,Tamil Nadu,51194.0,9.79800945,77.92984261528223,4,Indian Cuisine Restaurants,Indian Restaurant,Bus Station,Vegetarian / Vegan Restaurant,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
540,Petlad,Gujarat,51147.0,22.4770467,72.8003365,0,Food Hubs,ATM,Cosmetics Shop,Punjabi Restaurant,Bakery,Bed & Breakfast,Multiplex,Clothing Store,Ice Cream Shop,Spa,Food Service
541,Nasirabad,Rajasthan,50804.0,26.297039,74.73694640000001,1,Stations,Train Station,Snack Place,Clothing Store,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
542,Phaltan,Maharashtra,50800.0,17.9579342,74.41423536646539,0,Food Hubs,ATM,Cricket Ground,Bus Stop,Hotel,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market
543,Rampurhat,West Bengal,50613.0,24.15843265,87.86046933071671,2,ATM Hubs,ATM,Train Station,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
544,Nanjangud,Karnataka,50598.0,12.1220681,76.68434090000001,4,Indian Cuisine Restaurants,Indian Restaurant,Bus Station,Café,Cricket Ground,Fabric Shop,Falafel Restaurant,Cosmetics Shop,Farm,Farmers Market,Fast Food Restaurant
545,Forbesganj,Bihar,50475.0,26.27836065,87.29875647084894,0,Food Hubs,Athletics & Sports,French Restaurant,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
546,Tundla,Uttar Pradesh,50423.0,27.23463675,78.2771309043707,4,Indian Cuisine Restaurants,Indian Restaurant,ATM,Asian Restaurant,Train Station,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
547,Sagara,Karnataka,50131.0,14.1665017,75.0263852,4,Indian Cuisine Restaurants,Indian Restaurant,ATM,Theater,Hotel,Train Station,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant
548,Pithapuram,Andhra Pradesh,50103.0,17.1489922,82.23018860075135,0,Food Hubs,Sandwich Place,ATM,Train Station,Pharmacy,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
549,Sira,Karnataka,50088.0,13.7409467,76.905738,4,Indian Cuisine Restaurants,Indian Restaurant,ATM,Food Service,Bus Station,Café,Field,Factory,Falafel Restaurant,Farm,Farmers Market
550,Bhadrachalam,Telangana,50087.0,17.6688019,80.8940083,4,Indian Cuisine Restaurants,Indian Restaurant,Insurance Office,Boat or Ferry,Asian Restaurant,Bus Station,River,Tea Room,Women's Store,Field,Falafel Restaurant
551,Chatra,Jharkhand,49985.0,24.20162495,84.87817691941733,2,ATM Hubs,ATM,Frozen Yogurt Shop,Donut Shop,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
552,Palasa Kasibugga,Andhra Pradesh,49899.0,18.7694542,84.4179944,2,ATM Hubs,ATM,Scenic Lookout,Platform,Bus Station,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
553,Yevla,Maharashtra,49826.0,20.081225600000003,74.53318331524869,0,Food Hubs,Women's Store,ATM,Mobile Phone Shop,Train Station,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
554,Sirhind Fatehgarh Sahib,Punjab,49825.0,30.625015,76.38539709999999,0,Food Hubs,Shrine,ATM,Train Station,Fast Food Restaurant,Women's Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
555,Bhainsa,Telangana,49764.0,19.107085,77.9635656,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
556,Parvathipuram,Andhra Pradesh,49714.0,18.7649439,83.34458762599236,1,Stations,Train Station,Bus Station,Women's Store,Exhibit,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
557,Chalakudy,Kerala,49525.0,10.303987800000002,76.33607059999999,0,Food Hubs,Food Truck,Coffee Shop,Bus Station,Train Station,Food,Juice Bar,Café,Pizza Place,Indian Restaurant,Fabric Shop
558,Kapadvanj,Gujarat,49308.0,23.0232402,73.0727531,0,Food Hubs,Farm,Jewelry Store,Bus Station,Bank,Fish & Chips Shop,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
559,Macherla,Andhra Pradesh,49221.0,16.4761106,79.43641459999999,0,Food Hubs,Scenic Lookout,Fast Food Restaurant,Movie Theater,Lake,Pharmacy,Resort,Exhibit,Fabric Shop,Factory,Falafel Restaurant
560,Raghogarh-Vijaypur,Madhya Pradesh,49173.0,24.462892999999998,77.1604574,2,ATM Hubs,ATM,North Indian Restaurant,Train Station,Vegetarian / Vegan Restaurant,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market
561,Rupnagar,Punjab,49159.0,31.09168085,76.5272673916138,4,Indian Cuisine Restaurants,Indian Restaurant,ATM,Breakfast Spot,Café,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
562,Naugachhia,Bihar,49069.0,25.421416,87.09090821768987,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
563,Sendhwa,Madhya Pradesh,48941.0,21.687068399999998,75.09203149999999,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
564,Byasanagar,Odisha,48911.0,20.958743899999998,86.1226608,0,Food Hubs,ATM,Pharmacy,Asian Restaurant,Diner,Hotel,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market
565,Sandila,Uttar Pradesh,48899.0,27.127525800000004,80.53906695154278,0,Food Hubs,Bridal Shop,Frozen Yogurt Shop,North Indian Restaurant,Train Station,Motorcycle Shop,Food Court,Food & Drink Shop,Food,Flea Market,Fish & Chips Shop
566,Gooty,Andhra Pradesh,48658.0,15.13014175,77.64365939781754,4,Indian Cuisine Restaurants,Indian Restaurant,Andhra Restaurant,Plaza,Train Station,Fast Food Restaurant,Women's Store,Fabric Shop,Factory,Falafel Restaurant,Farm
567,Salur,Andhra Pradesh,48354.0,18.5177,83.2081,0,Food Hubs,Pharmacy,General Travel,Exhibit,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
568,Sardhana,Uttar Pradesh,48314.0,29.14893805,77.63763422399805,2,ATM Hubs,ATM,Motorcycle Shop,Travel & Transport,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
569,Vita,Maharashtra,48289.0,17.271977,74.5372841,0,Food Hubs,Lake,Dessert Shop,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
570,Gumia,Jharkhand,48141.0,23.7978518,85.75647029537048,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
571,Puttur,Karnataka,48070.0,12.7632858,75.2018421,0,Food Hubs,Ice Cream Shop,Pharmacy,Restaurant,Train Station,ATM,Temple,Hotel,River,Electronics Store,Farm
572,Jalandhar Cantt.,Punjab,47845.0,31.2905114,75.6302498,0,Food Hubs,Pizza Place,Café,Fast Food Restaurant,Sandwich Place,Indian Restaurant,Hotel,Shopping Mall,Burger Joint,American Restaurant,Neighborhood
573,Changanassery,Kerala,47685.0,9.4897969,76.62396673836119,0,Food Hubs,Fried Chicken Joint,Movie Theater,Bus Station,Bar,Women's Store,Fish & Chips Shop,Farm,Farmers Market,Fast Food Restaurant,Field
574,Mandapeta,Andhra Pradesh,47638.0,16.896833700000002,81.91817932322371,4,Indian Cuisine Restaurants,Indian Restaurant,ATM,Asian Restaurant,Train Station,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
575,Dumka,Jharkhand,47584.0,24.2538512,87.30064714192223,0,Food Hubs,Hotel,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
576,Seohara,Uttar Pradesh,47575.0,29.207157399999996,78.58422259999999,1,Stations,Cable Car,Train Station,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
577,Umarkhed,Maharashtra,47458.0,19.5982171,77.91409929687705,3,Mobile Stores and Women utility,Mobile Phone Shop,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
578,Madhupur,Jharkhand,47326.0,24.2878679,86.61050950020086,1,Stations,Platform,Train Station,Women's Store,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
579,Vikramasingapuram,Tamil Nadu,47241.0,8.7139565,77.389276,0,Food Hubs,Indie Movie Theater,Boat or Ferry,Mountain,Pharmacy,River,Scenic Lookout,Bus Station,Print Shop,ATM,Airport Lounge
580,Punalur,Kerala,47235.0,9.017493,76.92638249999999,1,Stations,Train Station,Bus Station,Hotel Bar,River,Bar,Women's Store,Fast Food Restaurant,Factory,Falafel Restaurant,Farm
581,Sihor,Gujarat,46960.0,21.720494,71.9605587,0,Food Hubs,ATM,Asian Restaurant,Train Station,Restaurant,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant,Farm
582,Nellikuppam,Tamil Nadu,46678.0,12.749068300000001,80.1064975,4,Indian Cuisine Restaurants,Indian Restaurant,Pizza Place,Hotel,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
583,Samana,Punjab,46592.0,30.1552451,76.2024326,2,ATM Hubs,ATM,Dessert Shop,Toll Booth,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
584,Warora,Maharashtra,46532.0,20.327935600000004,79.00781959381015,3,Mobile Stores and Women utility,Mobile Phone Shop,Train Station,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
585,Nilambur,Kerala,46366.0,11.30445455,76.33662873064819,4,Indian Cuisine Restaurants,Indian Restaurant,Market,Bus Station,Train Station,Women's Store,Field,Factory,Falafel Restaurant,Farm,Farmers Market
586,Rasipuram,Tamil Nadu,46330.0,11.4911695,78.2411702303988,4,Indian Cuisine Restaurants,Indian Restaurant,ATM,Clothing Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
587,Ramnagar,Uttarakhand,46205.0,29.42483385,79.09663522858392,0,Food Hubs,National Park,Resort,Hotel,Platform,River,Fast Food Restaurant,Exhibit,Fabric Shop,Factory,Falafel Restaurant
588,Jammalamadugu,Andhra Pradesh,46069.0,14.82604155,78.39903877659904,0,Food Hubs,Andhra Restaurant,Waterfront,ATM,Bus Station,Pharmacy,Women's Store,Factory,Falafel Restaurant,Farm,Farmers Market
589,Nawanshahr,Punjab,46024.0,31.1268889,76.15768480633812,0,Food Hubs,ATM,Café,Motorcycle Shop,Pizza Place,Hotel,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm
590,Thoubal,Manipur,45947.0,24.624587,94.04247928402685,0,Food Hubs,Scenic Lookout,ATM,Playground,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
591,Cherthala,Kerala,45827.0,9.740203999999999,76.33246715541219,4,Indian Cuisine Restaurants,Indian Restaurant,Restaurant,Train Station,Resort,Beach,Seafood Restaurant,Asian Restaurant,Rest Area,Boat or Ferry,Dance Studio
592,Farooqnagar,Telangana,45675.0,17.0791536,78.20398809999999,4,Indian Cuisine Restaurants,Indian Restaurant,ATM,Train Station,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
593,Peddapuram,Andhra Pradesh,45520.0,17.09813605,82.13236972772236,0,Food Hubs,Bus Station,Food & Drink Shop,Train Station,Pharmacy,Women's Store,Fast Food Restaurant,Fabric Shop,Factory,Falafel Restaurant,Farm
594,Chirkunda,Jharkhand,45508.0,23.745131399999998,86.7869794,2,ATM Hubs,ATM,Train Station,Light Rail Station,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
595,Pachora,Maharashtra,45333.0,20.65625755,75.40110691753951,2,ATM Hubs,ATM,Indian Restaurant,Light Rail Station,Fast Food Restaurant,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Field
596,Madhepura,Bihar,45031.0,25.9259562,86.82042961035677,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
597,Tumsar,Maharashtra,44869.0,21.4453914,79.66919273451187,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
598,Phalodi,Rajasthan,44868.0,27.129412100000003,72.3649644,1,Stations,Train Station,Women's Store,Event Space,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
599,Tiruttani,Tamil Nadu,44781.0,13.1596519,79.55053744434805,1,Stations,Train Station,Women's Store,Event Space,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
600,Rampura Phul,Punjab,44665.0,30.2703978,75.2373537,2,ATM Hubs,ATM,Department Store,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
601,Perinthalmanna,Kerala,44612.0,10.99071775,76.22894277252547,0,Food Hubs,Multiplex,Indian Restaurant,Fried Chicken Joint,Train Station,Supermarket,Shopping Mall,Field,Factory,Falafel Restaurant,Farm
602,Pipariya,Madhya Pradesh,44378.0,22.7538384,78.35574229999999,2,ATM Hubs,ATM,Punjabi Restaurant,Train Station,Women's Store,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
603,Dalli-Rajhara,Chhattisgarh,44363.0,20.588440300000002,81.071724,2,ATM Hubs,Jewelry Store,ATM,Women's Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
604,Punganur,Andhra Pradesh,44314.0,13.405603,78.55808373409376,2,ATM Hubs,Beach,ATM,Flea Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
605,Mattannur,Kerala,44313.0,11.930755699999999,75.5712639,0,Food Hubs,Bus Station,Ice Cream Shop,Indian Restaurant,Beach,Comfort Food Restaurant,Airport,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
606,Mathura,Uttar Pradesh,44313.0,27.633333,77.583333,1,Stations,Train Station,Resort,Women's Store,Field,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
607,Thakurdwara,Uttar Pradesh,44255.0,29.104359499999997,78.81583409295854,2,ATM Hubs,Motorcycle Shop,ATM,Fish & Chips Shop,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
608,Mulbagal,Karnataka,44033.0,13.162600400000002,78.3958998,2,ATM Hubs,ATM,Indian Restaurant,South Indian Restaurant,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
609,Manjlegaon,Maharashtra,44029.0,19.14106455,76.17077316562433,4,Indian Cuisine Restaurants,Indian Restaurant,Motorcycle Shop,Football Stadium,Food Truck,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
610,Wankaner,Gujarat,43881.0,22.6153934,70.9495617,0,Food Hubs,ATM,Mobile Phone Shop,Train Station,Scenic Lookout,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant,Farm
611,Sillod,Maharashtra,43867.0,20.31512955,75.58642868484947,4,Indian Cuisine Restaurants,Indian Restaurant,Bus Station,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fish & Chips Shop
612,Nidadavole,Andhra Pradesh,43809.0,16.906563100000003,81.65423521024772,1,Stations,Department Store,Train Station,Breakfast Spot,Women's Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
613,Rajagangapur,Odisha,43594.0,22.18283515,84.62289139548452,2,ATM Hubs,ATM,Train Station,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
614,Sheikhpura,Bihar,43113.0,25.12635425,85.81510620944194,2,ATM Hubs,ATM,Motorcycle Shop,Clothing Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
615,Parlakhemundi,Odisha,43097.0,18.785724,84.0816192,0,Food Hubs,Breakfast Spot,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
616,Kalimpong,West Bengal,42998.0,27.071690000000004,88.4729,0,Food Hubs,Asian Restaurant,Convenience Store,Golf Course,River,Café,Fast Food Restaurant,Fabric Shop,Factory,Falafel Restaurant,Farm
617,Siruguppa,Karnataka,42919.0,15.633606400000001,76.8939231,4,Indian Cuisine Restaurants,Indian Restaurant,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fish & Chips Shop
618,Arvi,Maharashtra,42822.0,20.93615005,78.28921691830386,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
619,Limbdi,Gujarat,42769.0,22.5674,71.8062,0,Food Hubs,Pizza Place,Fast Food Restaurant,Restaurant,Platform,Snack Place,Women's Store,Exhibit,Fabric Shop,Factory,Falafel Restaurant
620,Barpeta,Assam,42649.0,26.34142215,91.01674328474071,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
621,Manglaur,Uttarakhand,42584.0,29.792149600000005,77.8760645,0,Food Hubs,ATM,Indian Chinese Restaurant,Fast Food Restaurant,Pizza Place,Train Station,Café,Exhibit,Fabric Shop,Factory,Falafel Restaurant
622,Repalle,Andhra Pradesh,42539.0,16.019174800000002,80.83136429999999,0,Food Hubs,Pharmacy,Bus Station,Exhibit,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
623,Mudhol,Karnataka,42461.0,16.333859099999998,75.28707940000001,0,Food Hubs,Motorcycle Shop,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
624,Shujalpur,Madhya Pradesh,42461.0,23.389736199999998,76.712074,0,Food Hubs,Motorcycle Shop,Light Rail Station,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
625,Mandvi,Gujarat,42355.0,21.254926,73.30464070000001,0,Food Hubs,Plaza,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
626,Thangadh,Gujarat,42351.0,22.59609545,71.16792690378692,1,Stations,Campground,Train Station,Women's Store,Field,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
627,Nandura,Maharashtra,42167.0,20.81284715,76.38960757636602,1,Stations,Train Station,ATM,Indian Restaurant,Mobile Phone Shop,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market
628,Shoranur,Kerala,42029.0,10.7637196,76.272355,1,Stations,Platform,Train Station,General Travel,River,Women's Store,Farmers Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant
629,Nathdwara,Rajasthan,42016.0,24.930345300000003,73.82249370000001,0,Food Hubs,Hotel,Farm,Fast Food Restaurant,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farmers Market,Field
630,Periyakulam,Tamil Nadu,42012.0,10.1105106,77.59723205337286,0,Food Hubs,Bus Station,Indie Movie Theater,Scenic Lookout,Asian Restaurant,Travel & Transport,River,Park,Fish & Chips Shop,Fireworks Store,Field
631,Sultanganj,Bihar,41958.0,25.19965055,86.74092427574905,1,Stations,Train Station,Women's Store,Event Space,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
632,Medak,Telangana,41945.0,17.9375095,78.21174498510585,1,Stations,Train Station,Women's Store,Event Space,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
633,Pernampattu,Tamil Nadu,41499.0,12.9366728,78.7187469,0,Food Hubs,Mountain,Moving Target,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
634,Nainital,Uttarakhand,41377.0,29.2031392,79.4176945,0,Food Hubs,Mountain,Bakery,Clothing Store,Fish & Chips Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
635,Ramachandrapuram,Andhra Pradesh,41370.0,16.820723700000002,82.06252456511932,0,Food Hubs,Pharmacy,ATM,Adult Boutique,Flea Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
636,Vaijapur,Maharashtra,41296.0,20.155783300000003,74.97153712942551,3,Mobile Stores and Women utility,Mobile Phone Shop,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
637,Nangal,Punjab,41172.0,31.383748399999998,76.3754353,0,Food Hubs,Motorcycle Shop,Bridge,Platform,Reservoir,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
638,Sidlaghatta,Karnataka,41098.0,13.3885218,77.86413320000001,0,Food Hubs,Pharmacy,Breakfast Spot,General Travel,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
639,Pandhurna,Madhya Pradesh,40931.0,21.5954798,78.5258489,1,Stations,Train Station,Women's Store,Event Space,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
640,Wadgaon Road,Maharashtra,40884.0,18.740445,73.6375579,0,Food Hubs,Indian Restaurant,Fast Food Restaurant,Café,Coffee Shop,Platform,Resort,Snack Place,Farm,Toll Plaza,Lake
641,Talcher,Odisha,40841.0,20.945818300000003,85.2111736,0,Food Hubs,Motorcycle Shop,Restaurant,Event Space,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
642,Varkala,Kerala,40728.0,8.7352627,76.7080221,4,Indian Cuisine Restaurants,Indian Restaurant,Beach,Café,Hotel,Resort,Train Station,Seafood Restaurant,Restaurant,Surf Spot,Juice Bar
643,Pilani,Rajasthan,40590.0,28.362266100000003,75.60423420000001,0,Food Hubs,College Cafeteria,Theater,Hotel,Women's Store,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
644,Nowgong,Madhya Pradesh,40580.0,25.0632203,79.44028809999999,2,ATM Hubs,ATM,Women's Store,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
645,Naila Janjgir,Chhattisgarh,40561.0,22.022928699999998,82.565318,2,ATM Hubs,ATM,Ice Cream Shop,Women's Store,Fireworks Store,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
646,Mapusa,Goa,40487.0,15.5926744,73.8117622,0,Food Hubs,Restaurant,Indian Restaurant,Seafood Restaurant,Resort,Juice Bar,Breakfast Spot,Beach,Goan Restaurant,Nightclub,Café
647,Vellakoil,Tamil Nadu,40359.0,10.9511,77.714116,4,Indian Cuisine Restaurants,Indian Restaurant,Bus Station,Snack Place,Fireworks Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
648,Merta City,Rajasthan,40252.0,26.648036199999996,74.0335019,0,Food Hubs,Motorcycle Shop,Bank,Women's Store,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Fireworks Store
649,Sivaganga,Tamil Nadu,40220.0,9.851231,78.53047154820716,0,Food Hubs,Pharmacy,Bus Station,Currency Exchange,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field
650,Mandideep,Madhya Pradesh,39859.0,23.0965633,77.5144525,0,Food Hubs,Multiplex,Clothing Store,Train Station,Shopping Mall,Restaurant,Women's Store,Farmers Market,Exhibit,Fabric Shop,Factory
